hasher,source,e_label,e2_label,e3_label,ra_label,ita,s_label,s_label_mean,s_label_count,c_label,Agreement,Difficulty,Case ID,Qualified Reads,Origin,Reads 1 [qualified],Weight 1 [qualified],Reads 2 [qualified],Reads 6 [qualified],Weight 2 [qualified],Weight 6 [qualified],Reads none [qualified],Weight none [qualified],Reads 3 [qualified],Weight 3 [qualified],Reads 4 [qualified],Reads 5 [qualified],Weight 4 [qualified],Weight 5 [qualified],Comments,Majority Label
e49817fc5005668867c80a5b41e1789c.jpg,Book - Clinical dermatology (Habif 2010),3.0,4,2,2,5.0,2.0,2.157248157248157,407,3.0,0.482,0.526,6201493,19,Book - Clinical dermatology (Habif 2010)_Lichen planus (10).png,,,7.0,,4.25,,1.0,0.58,9.0,5.59,1.0,1.0,0.51,0.66,,['3']
65e77c2068b0a972828823ca8854c418.jpg,Book - Clinical dermatology (Habif 2010),6.0,6,6,6,6.0,6.0,5.548913043478261,552,6.0,0.956,0.044,6201461,68,Book - Clinical dermatology (Habif 2010)_Secondary syphilis (6).png,,,,65.0,,40.36,,,,,,3.0,,1.84,,['6']
ea1f896a00fbf77f37b21c0690405499.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),1.0,2,1,1,2.0,1.0,1.3200757575757576,528,1.0,0.789,0.2,6201012,15,Book - Rooks textbook of dermatology (Griffiths 2016)_Lacrimal duct scarring in erosive lichen planus.jpg,12.0,7.08,2.0,,1.17,,1.0,0.72,,,,,,,,['1']
3cb79e29c5577c86feb4df84d03de4e1.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),-1.0,3,-1,2,3.0,2.0,1.618811881188119,404,-1.0,1.0,0.0,6201299,68,Book - Rooks textbook of dermatology (Griffiths 2016)_Lichen planus (5).jpg,,,,,,,68.0,41.89,,,,,,,,['none']
e6282600d4b86b2b5ae3c620d707b061.jpg,Book - Clinical dermatology (Habif 2010),3.0,3,2,3,3.0,2.0,2.2205882352941178,544,3.0,0.352,0.65,6201059,20,Book - Clinical dermatology (Habif 2010)_Lichen planus (3).png,3.0,1.8,7.0,,4.18,,1.0,0.64,7.0,4.25,2.0,,1.2,,,['3']
3a9a26e93618809fd78a4c19af48822c.jpg,Book - Dermatology (Bolognia 2018),2.0,2,2,2,2.0,2.0,2.385869565217391,552,2.0,0.562,0.455,6201116,11,Book - Dermatology (Bolognia 2018)_Pityriasis rosea 5.png,5.0,3.02,6.0,,3.88,,,,,,,,,,,['2']
447cf96f5377a094d5639462728bf146.jpg,Book - Clinical dermatology (Habif 2010),2.0,4,4,2,2.0,2.0,2.3208955223880596,536,3.0,0.438,0.688,6201260,16,Book - Clinical dermatology (Habif 2010)_Pityriasis rubra pilaris.png,2.0,1.1,5.0,,3.34,,,,7.0,4.3,2.0,,1.08,,,['3']
d36bb3484206e80157e272a97d2c6219.jpg,Book - Dermatology (Bolognia 2018),2.0,3,2,3,3.0,2.0,2.544230769230769,520,3.0,0.695,0.769,6201230,13,Book - Dermatology (Bolognia 2018)_Less common manifestations of secondary syphilis (3).png,,,3.0,,1.86,,,,9.0,5.55,1.0,,0.58,,,['3']
68da15c17bb9e7e3e20bb4db407f35ac.jpg,Book - Dermatology (Bolognia 2018),4.0,5,5,4,3.0,5.0,4.264851485148514,404,4.0,0.509,0.486,6201146,35,Book - Dermatology (Bolognia 2018)_Linear lichen planus.jpg,,,,1.0,,0.66,,,3.0,1.78,18.0,13.0,10.88,8.06,,['4']
ae786a2f08dc81857cd7463d04481a90.jpg,Book - Dermatology (Bolognia 2018),4.0,3,4,4,3.0,4.0,3.1621621621621623,518,4.0,0.311,0.667,6201163,24,Book - Dermatology (Bolognia 2018)_Erythroderma due to atopic dermatitis 2.png,,,6.0,,3.6,,,,7.0,4.51,8.0,3.0,4.56,1.97,,['4']
c971b34480e98185fde319b01c499a80.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),4.0,4,4,4,5.0,4.0,2.4785553047404063,443,3.0,0.473,0.84,6201292,25,Book - Rooks textbook of dermatology (Griffiths 2016)_Lichen planus (4).jpg,2.0,1.3,3.0,,1.84,,4.0,2.59,12.0,7.49,4.0,,2.63,,,['3']
86279690de5710d2f7a7cccf43cba4d1.jpg,Book - Clinical dermatology (Habif 2010),2.0,2,2,2,5.0,2.0,2.049335863377609,527,1.0,0.59,0.63,6201433,27,Book - Clinical dermatology (Habif 2010)_Atopic dermatitis (5).png,16.0,9.32,10.0,,5.88,,,,1.0,0.6,,,,,,['1']
4f5f06a6fd29beac4f65188db1cf3d40.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),2.0,3,3,1,1.0,1.0,1.3901234567901235,405,1.0,1.0,1.0,6201484,15,Book - Rooks textbook of dermatology (Griffiths 2016)_Secondary syphilis showing papular syphilides (2).jpg,15.0,9.33,,,,,,,,,,,,,,['1']
351008a4e5a3237a658402f4e9a1f018.jpg,Book - Andrews Diseases of the Skin (James 2020),5.0,5,5,4,3.0,5.0,4.107468123861566,549,5.0,0.683,0.324,6201061,37,Book - Andrews Diseases of the Skin (James 2020)_lichen planus (6).png,,,,9.0,,5.57,,,,,3.0,25.0,1.9,16.08,,['5']
93a3c2538890ac818ebf1413e6e31bcc.jpg,Book - Clinical dermatology (Habif 2010),4.0,3,2,5,5.0,5.0,3.6921675774134792,549,4.0,0.455,0.538,6201442,13,Book - Clinical dermatology (Habif 2010)_Cutaneous T-cell lymphoma (2).png,1.0,0.65,,,,,,,4.0,2.48,6.0,2.0,3.6,1.18,,['4']
66fe72c4b59b72528f335e7c0361bf90.jpg,Book - Fitzpatricks Dermatology (Kang 2019),2.0,2,2,1,6.0,1.0,1.395985401459854,548,1.0,0.551,0.81,6201350,21,Book - Fitzpatricks Dermatology (Kang 2019)_Lichen planus (6).png,12.0,7.02,4.0,,2.64,,4.0,2.44,,,,1.0,,0.64,,['1']
5459225ba939913d4519a0308e6fb44a.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),5.0,6,6,6,5.0,6.0,5.0336283185840704,565,6.0,0.699,0.737,6201277,38,Book - Fitzpatricks Dermatology (Kang 2019)_Secondary syphilis lesions (2).png,,,,27.0,,16.1,,,,,1.0,10.0,0.52,6.4,,['6']
35a18e68db5708f2f99c731b31ecaa2e.jpg,Book - Fitzpatricks Dermatology (Kang 2019),5.0,4,5,5,5.0,5.0,4.174295774647887,568,5.0,0.689,0.333,6201435,36,Book - Fitzpatricks dermatology in general medicine (Wolff 2008)_Psoriaform lesions of secondary syphilis.png,,,1.0,4.0,0.54,2.48,,,1.0,0.56,6.0,24.0,3.44,15.54,,['5']
5e4dd0597f8374051658be1e4b16b5eb.jpg,Book - Andrews Diseases of the Skin (James 2020),3.0,3,2,2,2.0,2.0,1.851063829787234,470,1.0,0.519,1.0,6201031,10,Book - Andrews Diseases of the Skin (James 2020)_Subcutaneous T-cell lymphoma.png,5.0,3.08,5.0,,3.32,,,,,,,,,,,['1']
983af98dc4ec73c9553a66e53ae6bef8.jpg,Book - Dermatology (Bolognia 2018),2.0,1,2,1,2.0,1.0,1.5645756457564575,542,1.0,0.751,0.765,6201150,17,Book - Dermatology (Bolognia 2018)_Pityriasis rosea 2.png,13.0,7.93,4.0,,2.63,,,,,,,,,,,['1']
83dccb78024689c98cf700f3cb6abaec.jpg,Book - Clinical dermatology (Habif 2010),2.0,3,2,1,1.0,2.0,1.8101933216168717,569,1.0,0.733,0.727,6201021,11,Book - Clinical dermatology (Habif 2010)_Dermatomyositis (4).png,8.0,5.03,3.0,,1.83,,,,,,,,,,,['1']
0e0e9886df99755bb6028e09895c4bc5.jpg,Book - Fitzpatricks Dermatology (Kang 2019),3.0,3,3,3,1.0,2.0,2.22196261682243,428,1.0,0.426,0.857,6201364,21,Book - Fitzpatricks Dermatology (Kang 2019)_Mucosal lichen planus (2).png,9.0,5.7,8.0,,5.22,,,,3.0,1.81,1.0,,0.66,,,['1']
ecd43ad7a0f1d9c1be60c757075cb2cf.jpg,Book - Andrews Diseases of the Skin (James 2020),2.0,3,3,2,1.0,1.0,1.5346153846153847,520,1.0,0.917,0.913,6201430,23,Book - Andrews Diseases of the Skin (James 2020)_dermatomyositis (11).png,21.0,13.21,2.0,,1.19,,,,,,,,,,,['1']
cab944873b23c3d5671b02bb49c9a301.jpg,Book - Dermatology (Bolognia 2018),3.0,3,3,3,3.0,3.0,3.017110266159696,526,3.0,0.479,0.526,6201109,19,Book - Dermatology (Bolognia 2018)_Chronic atopic dermatitis 3.png,1.0,0.68,7.0,,3.99,,,,9.0,5.4,1.0,1.0,0.6,0.6,,['3']
88beed3d5bedcf2a78b02b880730ce90.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),3.0,3,2,3,2.0,3.0,2.4987654320987653,405,3.0,0.541,0.471,6201449,17,Book - Rooks textbook of dermatology (Griffiths 2016)_Guttate lichen planus.jpg,1.0,0.55,5.0,,3.07,,,,9.0,5.72,2.0,,1.24,,,['3']
8280fb7607e3ed7a515da9a5a097ebdd.jpg,Book - Taylor and Kellys Dermatology for Skin of Color (Taylor 2016),3.0,5,4,3,5.0,5.0,4.5425,400,5.0,0.55,0.933,6201414,15,Book - Taylor and Kellys Dermatology for Skin of Color (Taylor 2016)_Pterygium formation in lichen planus.jpg,,,,4.0,,2.39,,,1.0,0.5,2.0,8.0,1.2,5.0,,['5']
46aed2de2a42e5387565edd6371a0075.jpg,Book - Dermatology atlas for skin of color (Jackson-Richards 2014),5.0,6,6,5,6.0,5.0,4.2637571157495255,527,-1.0,0.716,0.941,6201381,34,Book - Dermatology atlas for skin of color (Jackson-Richards 2014)_secondary syphilis (2).png,,,,8.0,,4.75,24.0,15.2,,,,2.0,,1.28,,['none']
df18c0104ce1475b4966a6faa51bdec3.jpg,Book - Clinical dermatology (Habif 2010),4.0,4,6,4,5.0,5.0,4.1173814898419865,443,6.0,0.545,0.868,6200996,38,Book - Clinical dermatology (Habif 2010)_Pityriasis rubra pilaris (PRP) (1).png,,,,20.0,,12.45,1.0,0.52,,,5.0,12.0,2.98,6.89,,['6']
d1185efc6e0a3c3aca4cf9fcc81bfd9b.jpg,Book - Taylor and Kellys Dermatology for Skin of Color (Taylor 2016),3.0,4,4,3,5.0,4.0,3.536697247706422,436,4.0,0.546,0.842,6201329,19,Book - Taylor and Kellys Dermatology for Skin of Color (Taylor 2016)_pityriasis rosea.jpg,,,,1.0,,0.5,,,3.0,1.77,10.0,5.0,6.36,3.01,,['4']
3643cf697768b215244ae3acf8de0ea4.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),3.0,2,2,2,6.0,2.0,1.9346246973365617,413,1.0,0.549,0.909,6201408,22,Book - Fitzpatricks dermatology in general medicine (Wolff 2008)_Characteristic secondary syphilis lesions (1).png,12.0,7.45,6.0,,3.74,,2.0,1.01,2.0,1.38,,,,,,['1']
724f2c42d9b3970fb61763bbcb5ea591.jpg,Book - Fitzpatricks Dermatology (Kang 2019),4.0,6,5,5,3.0,5.0,4.494871794871795,390,5.0,0.469,0.821,6201269,28,Book - Fitzpatricks dermatology in general medicine (Wolff 2008)_Secondary syphilis lesions.png,,,1.0,8.0,0.66,4.86,,,1.0,0.6,5.0,13.0,2.99,8.06,,['5']
d90bb243de68c2fb0265c12266a1d9a9.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),2.0,3,3,3,3.0,2.0,2.25607476635514,535,1.0,0.38,0.783,6201320,23,Book - Rooks textbook of dermatology (Griffiths 2016)_Condylomata lata of secondary syphilis- on the penile shaft.jpg,9.0,5.49,5.0,,3.07,,2.0,1.28,5.0,3.26,2.0,,1.34,,,['1']
dca6600693b6c6a66792e6870ce727c9.jpg,Book - Andrews Diseases of the Skin (James 2020),3.0,3,3,3,3.0,2.0,2.206161137440758,422,2.0,0.503,0.636,6201406,22,Book - Andrews Diseases of the Skin (James 2020)_Dermatomyositis (4).png,,,11.0,,6.74,,,,8.0,4.88,3.0,,1.78,,,['2']
13d3ddb78c7e33ce78eecb1e44be9087.jpg,Book - Clinical dermatology (Habif 2010),2.0,2,2,2,3.0,3.0,2.628205128205128,546,3.0,0.675,0.909,6200991,22,Book - Clinical dermatology (Habif 2010)_Pityriasis rosea (collarette).png,1.0,0.66,2.0,,1.34,,,,15.0,9.62,3.0,1.0,2.02,0.62,,['3']
50c1389cbe9db12a44c5d7de17f64d54.jpg,Book - Andrews Diseases of the Skin (James 2020),4.0,4,4,4,3.0,4.0,3.545286506469501,541,5.0,0.633,0.72,6201052,25,Book - Andrews Diseases of the Skin (James 2020)_Pityriasis rosea (2).png,,,,,,,,,2.0,1.36,7.0,16.0,4.43,10.0,,['5']
c0f29f778ca6a7416819906d3f43da75.jpg,Book - Fitzpatricks Dermatology (Kang 2019),5.0,5,5,5,5.0,5.0,4.2250453720508165,551,5.0,0.715,0.306,6201421,36,Book - Fitzpatricks Dermatology (Kang 2019)_Vesicular pityriasis rosea.png,,,,3.0,,1.73,,,3.0,1.59,5.0,25.0,2.88,15.56,,['5']
aac9891968bfdfbe86e7d342db81e808.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),3.0,3,2,2,2.0,3.0,2.558086560364465,439,3.0,0.322,0.692,6201149,13,Book - Rooks textbook of dermatology (Griffiths 2016)_Secondary syphilis (1).jpg,3.0,1.72,4.0,,2.56,,1.0,0.62,4.0,2.6,1.0,,0.58,,,['3']
546df073f181e48833ec8c796ddafe85.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),2.0,1,2,2,1.0,1.0,1.2394014962593516,401,-1.0,0.522,0.857,6201436,21,Book - Rooks textbook of dermatology (Griffiths 2016)_Dermatomyositis showing dilated nail folds capillaries and obstructed and thrombosed capillaries.png,7.0,4.54,3.0,,1.8,,11.0,6.92,,,,,,,,['none']
d05ea3386514835ebab00e4916befc47.jpg,Book - Dermatology (Bolognia 2018),5.0,5,5,5,5.0,5.0,4.387096774193548,527,5.0,0.73,0.294,6201186,34,Book - Dermatology (Bolognia 2018)_Pityriasis rosea in darkly pigmented skin.jpg,,,,3.0,,1.66,,,,,7.0,24.0,3.95,15.15,,['5']
a11cc1daa1a24141c0782de05f9ca607.jpg,Book - Fitzpatricks Dermatology (Kang 2019),2.0,1,2,1,2.0,1.0,1.6160877513711152,547,1.0,0.759,0.765,6201308,17,Book - Fitzpatricks Dermatology (Kang 2019)_Lichen planus (3).png,13.0,7.98,4.0,,2.53,,,,,,,,,,,['1']
9459cd8a91da963889b7470304f00168.jpg,Book - Clinical dermatology (Habif 2010),3.0,2,3,2,2.0,2.0,1.9509803921568627,408,3.0,0.429,0.556,6201080,18,Book - Clinical dermatology (Habif 2010)_Atopic dermatitis (15).png,1.0,0.8,7.0,,4.54,,,,8.0,5.04,2.0,,1.37,,,['3']
292f3f2cbfcd5d173f60c88a8e23003f.jpg,Book - Taylor and Kellys Dermatology for Skin of Color (Taylor 2016),6.0,6,6,6,6.0,6.0,5.740484429065744,578,6.0,0.99,0.011,6201385,91,Book - Taylor and Kellys Dermatology for Skin of Color (Taylor 2016)_Secondary pityriasis rosea rash.jpg,,,,90.0,,55.73,,,,,,1.0,,0.59,,['6']
20b40c5877e58878b417600e9b7506c2.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),2.0,2,2,1,1.0,1.0,1.4622425629290619,437,1.0,1.0,1.0,6201390,15,Book - Rooks textbook of dermatology (Griffiths 2016)_Skin involvement in dermatomyositis.jpg,15.0,9.21,,,,,,,,,,,,,,['1']
580c02c8e9bd6688fd09cc79d682de66.jpg,Book - Clinical dermatology (Habif 2010),3.0,3,4,3,2.0,2.0,2.3741007194244603,556,3.0,0.411,0.615,6201432,13,Book - Clinical dermatology (Habif 2010)_Lichen planus - localized lesisons (2).png,1.0,0.57,4.0,,2.56,,,,5.0,3.49,3.0,,1.88,,,['3']
9c6d96f68a327fe518e4340f5a7498cb.jpg,Book - Dermatology (Bolognia 2018),4.0,5,5,4,5.0,5.0,4.494305239179955,439,5.0,0.604,0.775,6201144,40,Book - Dermatology (Bolognia 2018)_Hypertrophic lichen planus.png,,,,5.0,,2.8,,,2.0,1.24,9.0,24.0,5.55,14.65,,['5']
6a811ed1bf67383eaa67bad61df13dca.jpg,Book - Clinical dermatology (Habif 2010),2.0,2,2,2,6.0,2.0,1.6829710144927537,552,1.0,0.629,0.714,6200998,14,Book - Clinical dermatology (Habif 2010)_Dermatomyositis (3).png,9.0,5.55,4.0,,2.62,,1.0,0.65,,,,,,,,['1']
a0a53d6a2108fbaab5c584e9959b220f.jpg,Book - Clinical dermatology (Habif 2010),2.0,1,2,1,5.0,1.0,1.8921775898520083,473,1.0,0.758,0.833,6201445,18,Book - Clinical dermatology (Habif 2010)_Atopic dermatitis (3).png,14.0,8.54,3.0,,2.16,,,,1.0,0.57,,,,,,['1']
21b3945a5f70563d4b74cb34c525cdf5.jpg,Book - Dermatology (Bolognia 2018),3.0,3,2,3,3.0,3.0,2.2296015180265654,527,3.0,0.608,0.4,6201132,15,Book - Dermatology (Bolognia 2018)_Postinflammatory hypopigmentation in atopic dermatitis.jpg,,,5.0,,3.12,,,,9.0,5.8,1.0,,0.62,,,['3']
11473a3c8f077ec6ec2dbfd3aca48a5a.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),2.0,2,2,1,2.0,1.0,1.5358565737051793,502,1.0,0.84,0.833,6201424,12,Book - Fitzpatricks dermatology in general medicine (Wolff 2008)_acute flare of atopic dermatitis.png,10.0,5.86,2.0,,1.12,,,,,,,,,,,['1']
6d73cd5d45a8ad17126cdd517a4fbe41.jpg,Book - Clinical dermatology (Habif 2010),4.0,3,5,4,2.0,3.0,2.6533957845433256,427,3.0,0.437,0.933,6201066,30,Book - Clinical dermatology (Habif 2010)_Secondary syphilis (5).png,5.0,2.81,8.0,,4.94,,1.0,0.58,13.0,7.94,2.0,1.0,1.38,0.54,,['3']
69a80a3f7dbf587a8c9fd50e74be1903.jpg,Book - Clinical dermatology (Habif 2010),5.0,5,6,6,3.0,6.0,4.743970315398887,539,6.0,0.765,0.818,6201474,44,Book - Clinical dermatology (Habif 2010)_Secondary syphilis (8).png,,,,34.0,,20.64,2.0,1.1,,,,8.0,,5.25,,['6']
bdefe4e4adcacdf7d6b227c3d6cd6852.jpg,Book - Dermatology (Bolognia 2018),3.0,4,4,3,1.0,3.0,2.8,535,2.0,0.499,0.667,6201136,18,Book - Dermatology (Bolognia 2018)_Chronic atopic dermatitis.png,3.0,1.68,9.0,,5.64,,,,6.0,3.98,,,,,,['2']
e5dd81a8253a4e2d3a27b7151ce63d1e.jpg,Book - Clinical dermatology (Habif 2010),1.0,1,2,1,1.0,1.0,1.399628252788104,538,1.0,0.92,0.091,6201072,11,Book - Clinical dermatology (Habif 2010)_Pityriasis rosea (1).png,10.0,5.83,1.0,,0.51,,,,,,,,,,,['1']
1aa530af62fc6fa42696e7f39244764b.jpg,Book - Clinical dermatology (Habif 2010),2.0,1,2,2,2.0,1.0,1.6878172588832487,394,1.0,0.786,0.842,6201359,19,Book - Clinical dermatology (Habif 2010)_Atopic dermatitis..png,15.0,8.72,3.0,,1.84,,,,1.0,0.53,,,,,,['1']
70dc808e5f744317991a9be1dc247254.jpg,Book - Clinical dermatology (Habif 2010),4.0,5,5,3,2.0,3.0,2.68,425,2.0,0.478,0.867,6201015,30,Book - Clinical dermatology (Habif 2010)_Secondary syphilis (2).png,3.0,1.74,14.0,,8.58,,1.0,0.5,7.0,3.98,4.0,1.0,2.65,0.5,,['2']
a28fc269352339cad785ac2ea4ded95b.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),2.0,2,2,3,2.0,2.0,2.149805447470817,514,1.0,0.731,0.783,6201273,23,Book - Rooks textbook of dermatology (Griffiths 2016)_Pityriasis rubra pilaris (PRP) (1).jpg,17.0,10.2,5.0,,3.22,,,,1.0,0.53,,,,,,['1']
e0792022edd7cb74cb90b13e358b42a2.jpg,Book - Andrews Diseases of the Skin (James 2020),2.0,2,2,2,2.0,2.0,1.7304832713754648,538,2.0,0.603,0.417,6201448,24,Book - Andrews Diseases of the Skin (James 2020)_Secondary syphilis (8).png,7.0,4.2,14.0,,8.96,,,,3.0,1.7,,,,,,['2']
b680c408e1309ed2c1663cc06e149579.jpg,Book - Dermatology (Bolognia 2018),2.0,1,2,1,2.0,2.0,1.8523364485981308,535,2.0,0.6,0.429,6201283,7,Book - Dermatology (Bolognia 2018)_Pityriasis rubra pilaris (1).png,1.0,0.61,4.0,,2.6,,,,2.0,1.12,,,,,,['2']
719252d8c36ffd207f19ae218dd5235f.jpg,Book - Dermatology (Bolognia 2018),2.0,2,2,2,3.0,2.0,1.9516994633273703,559,2.0,0.563,0.455,6201108,22,Book - Dermatology (Bolognia 2018)_Atopic dermatitis in childhood exacerbated by Malassezia.jpg,9.0,5.3,12.0,,7.65,,,,1.0,0.64,,,,,,['2']
305797ae34a24462586b63583fcc617b.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),2.0,3,2,3,2.0,2.0,1.818342151675485,567,1.0,0.501,0.571,6201218,14,Book - Fitzpatricks dermatology in general medicine (Wolff 2008)_lichenification with atopic dermatitis.png,7.0,4.39,6.0,,3.8,,,,1.0,0.58,,,,,,['1']
5d709b3ba36d4d3e3237c154976972df.jpg,Book - Dermatology (Bolognia 2018),-1.0,2,2,-1,2.0,2.0,1.8663366336633664,404,2.0,0.417,0.836,6201107,73,Book - Dermatology (Bolognia 2018)_Childhood atopic dermatitis.png,26.0,15.75,31.0,,18.87,,12.0,8.04,3.0,1.91,1.0,,0.66,,,['2']
2514080900772dc96e9ad3f30c008dc5.jpg,Book - Clinical dermatology (Habif 2010),3.0,3,2,2,3.0,3.0,2.556169429097606,543,3.0,0.702,0.312,6201007,16,Book - Clinical dermatology (Habif 2010)_Lichen planus.png,,,4.0,,2.47,,,,11.0,7.13,1.0,,0.56,,,['3']
2d3f5354f7d3b328e1494240b8ecbcef.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),2.0,2,2,1,6.0,1.0,1.3391915641476275,569,1.0,0.837,0.941,6201401,17,Book - Rooks textbook of dermatology (Griffiths 2016)_severe dermatomyositis.jpg,14.0,8.52,1.0,,0.5,,2.0,1.16,,,,,,,,['1']
7a60296c90a8e943db5c0aa5b1084d31.jpg,Book - Andrews Diseases of the Skin (James 2020),4.0,4,4,4,4.0,4.0,3.7818853974121995,541,4.0,0.579,0.424,6201348,33,Book - Andrews Diseases of the Skin (James 2020)_atopic dermatitis (4).png,,,2.0,,1.24,,,,8.0,4.87,19.0,4.0,11.76,2.45,,['4']
5a907b46a130d95c4a2715025bf9941a.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),4.0,4,5,4,5.0,5.0,4.043367346938775,392,5.0,0.452,0.579,6201134,38,Book - Rooks textbook of dermatology (Griffiths 2016)_Classic vulval lichen planus (2).jpg,,,,1.0,,0.66,,,3.0,1.75,16.0,18.0,10.44,10.59,,['5']
8c345cbc1a94b473eb6cc24f78fe8100.jpg,Book - Clinical dermatology (Habif 2010),1.0,2,2,2,2.0,2.0,1.8542435424354244,542,1.0,0.848,0.158,6201396,19,Book - Clinical dermatology (Habif 2010)_atopic dermatitis Childhood Phase (1).png,16.0,9.67,2.0,,1.17,,,,1.0,0.57,,,,,,['1']
3681548354da0d19c7ca7e14a374bb1c.jpg,Book - Dermatology (Bolognia 2018),2.0,3,2,2,2.0,2.0,2.3281553398058255,515,2.0,0.48,0.55,6201175,20,Book - Dermatology (Bolognia 2018)_Photoaggravated atopic dermatitis induced by the solar simulator.jpg,3.0,1.94,9.0,,5.84,,,,7.0,3.83,1.0,,0.56,,,['2']
