image,e,e2,e3,s,c,ita_s,reads,agreement,difficulty,ita
35a18e68db5708f2f99c731b31ecaa2e.jpg,5.0,4.0,5.0,5.0,5.0,-13.090018475066849,36.0,0.689,0.333,5.0
5e4dd0597f8374051658be1e4b16b5eb.jpg,3.0,3.0,2.0,2.0,1.0,40.29447589801456,10.0,0.519,1.0,2.0
983af98dc4ec73c9553a66e53ae6bef8.jpg,2.0,1.0,2.0,1.0,1.0,35.8363416243201,17.0,0.751,0.765,2.0
83dccb78024689c98cf700f3cb6abaec.jpg,2.0,3.0,2.0,2.0,1.0,82.3136554692491,11.0,0.733,0.727,1.0
0e0e9886df99755bb6028e09895c4bc5.jpg,3.0,3.0,3.0,2.0,1.0,60.27369977399901,21.0,0.426,0.857,1.0
ecd43ad7a0f1d9c1be60c757075cb2cf.jpg,2.0,3.0,3.0,1.0,1.0,66.93071588262053,23.0,0.917,0.913,1.0
cab944873b23c3d5671b02bb49c9a301.jpg,3.0,3.0,3.0,3.0,3.0,10.886938315701315,19.0,0.479,0.526,3.0
88beed3d5bedcf2a78b02b880730ce90.jpg,3.0,3.0,2.0,3.0,3.0,35.78421466832272,17.0,0.541,0.471,2.0
8280fb7607e3ed7a515da9a5a097ebdd.jpg,3.0,5.0,4.0,5.0,5.0,-21.524813727982234,15.0,0.55,0.933,5.0
46aed2de2a42e5387565edd6371a0075.jpg,5.0,6.0,6.0,5.0,-1.0,-83.53323178434782,34.0,0.716,0.941,6.0
df18c0104ce1475b4966a6faa51bdec3.jpg,4.0,4.0,6.0,5.0,6.0,-13.568913091739724,38.0,0.545,0.868,5.0
d1185efc6e0a3c3aca4cf9fcc81bfd9b.jpg,3.0,4.0,4.0,4.0,4.0,-4.285990863557866,19.0,0.546,0.842,5.0
3643cf697768b215244ae3acf8de0ea4.jpg,3.0,2.0,2.0,2.0,1.0,-86.5606181304509,22.0,0.549,0.909,6.0
724f2c42d9b3970fb61763bbcb5ea591.jpg,4.0,6.0,5.0,5.0,5.0,19.939067888932435,28.0,0.469,0.821,3.0
d90bb243de68c2fb0265c12266a1d9a9.jpg,2.0,3.0,3.0,2.0,1.0,17.57255086085018,23.0,0.38,0.783,3.0
dca6600693b6c6a66792e6870ce727c9.jpg,3.0,3.0,3.0,2.0,2.0,19.182132797751855,22.0,0.503,0.636,3.0
13d3ddb78c7e33ce78eecb1e44be9087.jpg,2.0,2.0,2.0,3.0,3.0,11.00721080628113,22.0,0.675,0.909,3.0
50c1389cbe9db12a44c5d7de17f64d54.jpg,4.0,4.0,4.0,4.0,5.0,20.526208314081565,25.0,0.633,0.72,3.0
c0f29f778ca6a7416819906d3f43da75.jpg,5.0,5.0,5.0,5.0,5.0,0.8998595191724007,36.0,0.715,0.306,5.0
aac9891968bfdfbe86e7d342db81e808.jpg,3.0,3.0,2.0,3.0,3.0,33.191435903471664,13.0,0.322,0.692,2.0
546df073f181e48833ec8c796ddafe85.jpg,2.0,1.0,2.0,1.0,-1.0,61.11385373992778,21.0,0.522,0.857,1.0
d05ea3386514835ebab00e4916befc47.jpg,5.0,5.0,5.0,5.0,5.0,2.2138656480760845,34.0,0.73,0.294,5.0
a11cc1daa1a24141c0782de05f9ca607.jpg,2.0,1.0,2.0,1.0,1.0,39.70400421704697,17.0,0.759,0.765,2.0
9459cd8a91da963889b7470304f00168.jpg,3.0,2.0,3.0,2.0,3.0,40.330022887372124,18.0,0.429,0.556,2.0
292f3f2cbfcd5d173f60c88a8e23003f.jpg,6.0,6.0,6.0,6.0,6.0,-88.9544604059272,91.0,0.99,0.011,6.0
20b40c5877e58878b417600e9b7506c2.jpg,2.0,2.0,2.0,1.0,1.0,82.48451121430989,15.0,1.0,1.0,1.0
580c02c8e9bd6688fd09cc79d682de66.jpg,3.0,3.0,4.0,2.0,3.0,42.43060540552687,13.0,0.411,0.615,2.0
9c6d96f68a327fe518e4340f5a7498cb.jpg,4.0,5.0,5.0,5.0,5.0,-15.453810542304597,40.0,0.604,0.775,5.0
6a811ed1bf67383eaa67bad61df13dca.jpg,2.0,2.0,2.0,2.0,1.0,-64.50906760976741,14.0,0.629,0.714,6.0
a0a53d6a2108fbaab5c584e9959b220f.jpg,2.0,1.0,2.0,1.0,1.0,-38.050300665371054,18.0,0.758,0.833,5.0
21b3945a5f70563d4b74cb34c525cdf5.jpg,3.0,3.0,2.0,3.0,3.0,8.245895223039922,15.0,0.608,0.4,3.0
11473a3c8f077ec6ec2dbfd3aca48a5a.jpg,2.0,2.0,2.0,1.0,1.0,50.868619962680256,12.0,0.84,0.833,2.0
6d73cd5d45a8ad17126cdd517a4fbe41.jpg,4.0,3.0,5.0,3.0,3.0,47.84011928006811,30.0,0.437,0.933,2.0
69a80a3f7dbf587a8c9fd50e74be1903.jpg,5.0,5.0,6.0,6.0,6.0,14.964672315736044,44.0,0.765,0.818,3.0
bdefe4e4adcacdf7d6b227c3d6cd6852.jpg,3.0,4.0,4.0,3.0,2.0,56.827219536521945,18.0,0.499,0.667,1.0
e5dd81a8253a4e2d3a27b7151ce63d1e.jpg,1.0,1.0,2.0,1.0,1.0,69.4570144687865,11.0,0.92,0.091,1.0
1aa530af62fc6fa42696e7f39244764b.jpg,2.0,1.0,2.0,1.0,1.0,30.657884448811494,19.0,0.786,0.842,2.0
70dc808e5f744317991a9be1dc247254.jpg,4.0,5.0,5.0,3.0,2.0,43.567972391531804,30.0,0.478,0.867,2.0
a28fc269352339cad785ac2ea4ded95b.jpg,2.0,2.0,2.0,2.0,1.0,38.88380327358442,23.0,0.731,0.783,2.0
e0792022edd7cb74cb90b13e358b42a2.jpg,2.0,2.0,2.0,2.0,2.0,31.792586466452654,24.0,0.603,0.417,2.0
b680c408e1309ed2c1663cc06e149579.jpg,2.0,1.0,2.0,2.0,2.0,42.2750292729013,7.0,0.6,0.429,2.0
719252d8c36ffd207f19ae218dd5235f.jpg,2.0,2.0,2.0,2.0,2.0,9.994832737444135,22.0,0.563,0.455,3.0
305797ae34a24462586b63583fcc617b.jpg,2.0,3.0,2.0,2.0,1.0,36.81400253024851,14.0,0.501,0.571,2.0
5d709b3ba36d4d3e3237c154976972df.jpg,-1.0,2.0,2.0,2.0,2.0,38.506402616215496,73.0,0.417,0.836,2.0
2514080900772dc96e9ad3f30c008dc5.jpg,3.0,3.0,2.0,3.0,3.0,18.150447208102236,16.0,0.702,0.312,3.0
2d3f5354f7d3b328e1494240b8ecbcef.jpg,2.0,2.0,2.0,1.0,1.0,-88.423026142229,17.0,0.837,0.941,6.0
7a60296c90a8e943db5c0aa5b1084d31.jpg,4.0,4.0,4.0,4.0,4.0,4.937329468400235,33.0,0.579,0.424,4.0
5a907b46a130d95c4a2715025bf9941a.jpg,4.0,4.0,5.0,5.0,5.0,-19.650257972695,38.0,0.452,0.579,5.0
8c345cbc1a94b473eb6cc24f78fe8100.jpg,1.0,2.0,2.0,2.0,1.0,29.591273242718287,19.0,0.848,0.158,2.0
3681548354da0d19c7ca7e14a374bb1c.jpg,2.0,3.0,2.0,2.0,2.0,38.3093293549867,20.0,0.48,0.55,2.0
108d8fb81e8dbe9f52fd963ac17284e0.jpg,4.0,5.0,4.0,5.0,4.0,11.543119119919666,31.0,0.513,0.484,3.0
e4a0d12702205e8da80a12826d5a7cc2.jpg,5.0,5.0,6.0,6.0,6.0,-11.44499999203627,42.0,0.585,0.643,5.0
261ab050221f6a299e1afb750ca5b7a2.jpg,3.0,4.0,5.0,2.0,2.0,35.82119619479957,16.0,0.405,0.688,2.0
6157d4e6a8307a64f0d1a37b50e9bb03.jpg,3.0,4.0,4.0,4.0,3.0,13.115908570297014,14.0,0.456,0.571,3.0
0c6f781ce8f49d4722811e1e75ba3cb8.jpg,3.0,3.0,3.0,2.0,2.0,18.8209566794506,16.0,0.634,0.938,3.0
c071b55c150a6dc43e90c711bc171b89.jpg,4.0,3.0,3.0,3.0,3.0,22.927225979481825,31.0,0.411,0.903,3.0
450f851a16e4887927c32d34f916f9d1.jpg,2.0,2.0,2.0,2.0,1.0,77.68341748833363,19.0,0.752,0.789,1.0
9f1f35f4e2110b212e69e5c4de5b85e8.jpg,3.0,3.0,4.0,4.0,4.0,4.293428009949667,24.0,0.717,1.0,4.0
827990b3ab12d11f1fea7d96a16490d3.jpg,6.0,6.0,6.0,6.0,-1.0,-86.56224436556504,79.0,0.703,0.709,6.0
5c292184975a8c5bdf13d870302417e7.jpg,2.0,3.0,3.0,2.0,-1.0,37.40883628325016,15.0,0.757,0.867,2.0
893d60ad0c1586f6a1def01953b3c1ac.jpg,2.0,2.0,2.0,2.0,1.0,60.24902542964249,19.0,0.561,0.632,1.0
aaf38e1758ca58ca34d249a3498767f0.jpg,2.0,3.0,2.0,3.0,2.0,53.85000823326739,23.0,0.452,0.565,1.0
af89a32ac2b1fb5eb66514319d279c66.jpg,2.0,1.0,2.0,1.0,1.0,47.15996453223218,17.0,0.938,0.941,2.0
b19bc079a7f2420f50ce924cba9578e7.jpg,5.0,5.0,5.0,5.0,6.0,-5.818263877345155,29.0,0.633,0.655,5.0
a687fae7a0d6f4b91c3f03a7908d612f.jpg,3.0,3.0,4.0,3.0,4.0,13.586809793542695,17.0,0.471,0.588,3.0
66f7e3b63198d5bf22ed25a39faedc93.jpg,4.0,5.0,4.0,4.0,4.0,-3.1561069397990638,32.0,0.639,0.375,5.0
2b11a456294108419ef12e191961e0d4.jpg,-1.0,2.0,-1.0,-1.0,-1.0,-53.2375193487014,54.0,0.983,0.019,6.0
937cc4162e867d3eb4e3e347c0fb2981.jpg,2.0,1.0,2.0,1.0,1.0,54.92542517411106,14.0,0.879,0.929,1.0
e13607d90bd109d8e33cbb1514a8f2a3.jpg,3.0,4.0,4.0,5.0,5.0,-16.069024548658472,24.0,0.502,0.958,5.0
1bbd8ebb6a8adefba1da3b01f1186865.jpg,3.0,2.0,2.0,3.0,3.0,29.57973266487758,8.0,0.428,0.625,2.0
d081dad9a69e348646d50e9275c72ef0.jpg,2.0,2.0,2.0,2.0,2.0,49.60757815863731,9.0,0.823,0.222,2.0
a2542d5b16dce9b921b0853aa2babcd9.jpg,4.0,4.0,5.0,4.0,4.0,15.036127251350166,29.0,0.699,0.31,3.0
3525cd2d21eeb5f7b8e13f095f7e1327.jpg,5.0,5.0,6.0,6.0,6.0,-35.893294373124206,38.0,0.95,0.947,5.0
3a20823a4c7b08f184148fad109e2cfd.jpg,5.0,6.0,6.0,6.0,6.0,7.569421929072124,46.0,0.754,0.761,3.0
32cfc51c57591fd5942231ec3d8cce52.jpg,3.0,4.0,3.0,4.0,4.0,-28.045039373249796,20.0,0.301,0.8,5.0
d23cab237b8e20f52b2e08cc8c28b518.jpg,3.0,4.0,3.0,4.0,4.0,-67.8599338296034,24.0,0.465,0.917,6.0
1f2eb99fda27fdc412cbfe807768591c.jpg,5.0,5.0,5.0,5.0,5.0,8.966194751699934,44.0,0.73,0.273,3.0
3e602d36f0cc02c971e8c798637aaac8.jpg,3.0,1.0,2.0,2.0,1.0,43.88303803603494,16.0,0.623,1.0,2.0
312e6ed5f1baf1b2b0d8e196fb1b99d1.jpg,4.0,3.0,4.0,4.0,4.0,2.21534761737153,33.0,0.376,0.636,5.0
1e6521e008ede73ec16256bd27b1c528.jpg,6.0,6.0,6.0,6.0,6.0,-78.05199086860442,83.0,0.824,0.181,6.0
a3dc173bedcdc24f536d95992070cc5b.jpg,2.0,2.0,2.0,2.0,1.0,30.788781770405272,12.0,0.737,0.75,2.0
e1ab1a4e155ac324c8ff8aec13f29fa6.jpg,3.0,3.0,5.0,4.0,4.0,-34.20155476898692,12.0,0.417,0.833,5.0
cb67dc671f30cc80cd0ae3c80a7eeee5.jpg,4.0,4.0,5.0,5.0,5.0,-1.8219102057475502,29.0,0.636,0.655,5.0
663d2316122af8a1ee940ade074c4157.jpg,2.0,3.0,3.0,3.0,2.0,22.279933117865994,16.0,0.33,0.688,3.0
d25ade4ecf447d62f5077684ffb48c93.jpg,5.0,5.0,5.0,5.0,5.0,18.725589634229287,43.0,0.494,0.512,3.0
3bf63f4a48ca672dd9fda84024a9aff2.jpg,4.0,4.0,3.0,3.0,2.0,18.14554016769556,27.0,0.376,0.852,3.0
1286ef8611381c6431c6afc7fc099f4f.jpg,3.0,2.0,3.0,3.0,2.0,40.07792873199634,20.0,0.551,0.65,2.0
6e028af87049845a78d831267ebb3f61.jpg,2.0,2.0,2.0,2.0,1.0,31.0031484698721,13.0,0.93,0.923,2.0
5554b9eebc0ebb3c9280929fbd1cd718.jpg,4.0,5.0,4.0,4.0,3.0,-2.4225145054643007,33.0,0.273,0.788,5.0
a3ac32a28c335066046ddd2fed29fbf9.jpg,3.0,2.0,2.0,2.0,3.0,36.42006531710858,17.0,0.424,0.588,2.0
6836db004fd66796417473c10e6e7315.jpg,2.0,1.0,2.0,1.0,1.0,-87.98768532682273,16.0,0.814,0.812,6.0
42fb01d173154f6051f7a72b4b6929fd.jpg,2.0,3.0,3.0,2.0,-1.0,-89.78080506487348,16.0,0.821,0.938,6.0
2527d7b807bb6bc74d38b02e74eab418.jpg,3.0,2.0,4.0,2.0,2.0,69.2082953314884,17.0,0.527,0.941,1.0
c2b7bf36c79c7a5fbf66fa89882cbfe2.jpg,2.0,2.0,2.0,1.0,1.0,57.75405897305212,11.0,0.921,1.0,1.0
6ab85237f8a247de2aad275f3f825554.jpg,2.0,3.0,3.0,2.0,2.0,9.186146033940481,12.0,0.663,0.333,3.0
e3eba51c81b16be51fe012ca765a1486.jpg,3.0,3.0,2.0,3.0,3.0,38.085101525360734,17.0,0.656,0.353,2.0
7d3313b1b2ad3eb58341f14505e5f9db.jpg,2.0,2.0,2.0,2.0,2.0,12.972501569660045,21.0,0.63,0.381,3.0
bd6f87517bbe39213fb560ccbf8c51e8.jpg,2.0,3.0,2.0,2.0,3.0,34.278663494705604,15.0,0.267,0.733,2.0
556b7e20e4a718a135b058cb25ee0967.jpg,4.0,5.0,5.0,5.0,5.0,3.555800857158795,31.0,0.809,0.903,5.0
65b2d1a4d058c60fb53ff7db29f192e8.jpg,4.0,5.0,5.0,5.0,5.0,-10.821592577542301,32.0,0.635,0.875,5.0
87fb592aa3fbf8bef306be82575bb7e6.jpg,4.0,5.0,5.0,6.0,6.0,28.277405397340974,38.0,0.346,0.789,2.0
f7de19e308a80d411cd39de0083afea4.jpg,3.0,3.0,3.0,2.0,2.0,-7.324957222464311,23.0,0.634,1.0,5.0
ad8de5f4dd3c71e3b0cf8b2ed6fc1e1a.jpg,1.0,2.0,1.0,1.0,1.0,45.514987834813184,15.0,0.804,0.2,2.0
e6df729684f769e560dda4426626db44.jpg,5.0,6.0,6.0,6.0,6.0,-25.113919582161657,33.0,0.792,0.788,5.0
c35ac8557c66ecf0d8b86b46a03c7e9d.jpg,3.0,4.0,4.0,4.0,3.0,4.726622245850807,20.0,0.508,0.5,4.0
4345ef6c36e6a8b8c509f472caa21e61.jpg,3.0,3.0,4.0,5.0,5.0,-10.324927159613804,24.0,0.459,0.875,5.0
6ee992819af320a1d6c2d42e2672c2b7.jpg,2.0,2.0,2.0,1.0,1.0,66.38950976653241,18.0,0.719,0.722,1.0
7d1218ffc95e77480ca857d581642c8a.jpg,2.0,3.0,3.0,2.0,2.0,20.234238411076326,16.0,0.765,0.25,3.0
e0a18a0b13ae45258e087776309ba5fd.jpg,1.0,1.0,1.0,1.0,1.0,54.74886907238578,20.0,1.0,0.0,1.0
1728f27a88462cc69bf16ed4f69450c7.jpg,3.0,2.0,3.0,2.0,2.0,-57.09347416218866,18.0,0.639,0.889,6.0
f471121701df86e354af36f6b3ce897b.jpg,2.0,2.0,3.0,2.0,-1.0,-83.86668142884805,12.0,0.598,0.833,6.0
eeff209a9f606afef0bc4f4e9d90ca1d.jpg,3.0,4.0,5.0,4.0,4.0,-11.372701703029426,21.0,0.302,0.857,5.0
7f9e22a43fa1aa86b167dfb0fbce7db5.jpg,4.0,5.0,4.0,4.0,5.0,0.8937267254993411,26.0,0.576,0.923,5.0
6413327c61d013474f0a5c180584c547.jpg,2.0,3.0,2.0,2.0,2.0,24.260181197577943,5.0,0.429,0.6,3.0
2fbab72b02a8ce3b7a52a82d5f8c11ba.jpg,-1.0,2.0,-1.0,2.0,-1.0,-2.8956079001506345,54.0,0.946,0.056,5.0
248e4f11f1fc0e661979dabcc27bd388.jpg,3.0,5.0,2.0,2.0,3.0,-85.91305576581907,22.0,0.363,0.636,6.0
95153fab80e1e0fdcf13945ec11990d1.jpg,3.0,3.0,3.0,2.0,2.0,8.195064082115321,8.0,0.396,0.625,3.0
68646b464058da9689b57b0d2d2cb1cc.jpg,3.0,3.0,2.0,2.0,2.0,31.979928015714954,13.0,0.444,0.615,2.0
6093ff8620e060f61bb2df68fa4db4ec.jpg,-1.0,2.0,-1.0,-1.0,-1.0,-87.42879398449871,71.0,1.0,0.0,6.0
87218c67740bb192d6762d34563180ed.jpg,2.0,3.0,3.0,2.0,1.0,66.72890628854216,15.0,0.731,0.733,1.0
3f8a23a681ef64bdfaba308fd04632c2.jpg,2.0,2.0,2.0,1.0,1.0,62.49304188004198,18.0,0.845,0.833,1.0
07b56ac665f08993c79062c4d5c9cec1.jpg,2.0,4.0,3.0,3.0,3.0,11.067982181397683,13.0,0.77,0.769,3.0
07b56ac665f08993c79062c4d5c9cec1.jpg,3.0,4.0,3.0,3.0,3.0,11.067982181397683,13.0,0.77,0.769,3.0
b82a8cb04e78fbed71d2fd709b36fa84.jpg,2.0,2.0,2.0,2.0,1.0,56.84530587962615,15.0,0.732,0.733,1.0
bcc5fd25712fc3c20e078d01645f5773.jpg,-1.0,2.0,2.0,2.0,4.0,23.446040126544396,8.0,0.38,0.875,3.0
d07c4bef890ac4241092e608f5d8491d.jpg,3.0,3.0,2.0,4.0,2.0,-1.2789938081977426,20.0,0.403,0.75,5.0
cbaaa00e9db5ecd2d17a263ea8ea3eda.jpg,4.0,5.0,5.0,5.0,5.0,-23.150002972631462,27.0,0.612,0.778,5.0
a808a25aea38a144e41cbd144d4e2604.jpg,4.0,3.0,4.0,4.0,4.0,-4.239956732472921,32.0,0.54,0.5,5.0
f41e5463c07963dce551778b65094df3.jpg,5.0,5.0,5.0,5.0,6.0,-88.06960574009787,42.0,0.645,0.643,6.0
7bb1c5d11b9b950726bf4b01af3b0fcc.jpg,4.0,4.0,4.0,5.0,4.0,-28.078423908333402,33.0,0.525,0.485,5.0
231c56cdc3c54de575830306a9b2102c.jpg,5.0,6.0,6.0,6.0,6.0,-15.427979685024269,43.0,0.784,0.86,5.0
fd9ce101be5e67551a9ba018bd37eb05.jpg,3.0,2.0,4.0,2.0,3.0,17.892007079960848,16.0,0.594,0.438,3.0
24ec65406eba5ff5adbcf8b0bbcee946.jpg,4.0,4.0,4.0,4.0,5.0,10.35827226578563,25.0,0.469,0.56,3.0
f408e907c34be8f208ee6d669d3883cb.jpg,3.0,4.0,2.0,3.0,3.0,44.15491063485314,16.0,0.378,0.625,2.0
daa73511020ec226d24ba6758668c79f.jpg,5.0,5.0,5.0,5.0,5.0,17.201019423672314,40.0,0.79,0.225,3.0
48d4aca53a4352fe1fa1b97b2315a3f1.jpg,5.0,6.0,5.0,5.0,5.0,-19.867643792166835,43.0,0.674,0.326,5.0
d3b89c778b7db849218978c31428b69e.jpg,5.0,6.0,6.0,6.0,6.0,-86.61440118564072,41.0,0.974,0.976,6.0
87971d31e4daaaf4a01bfa98e7789930.jpg,2.0,2.0,2.0,2.0,2.0,62.73413827531074,20.0,0.629,0.4,1.0
a707e2a4101ff43c79b91ffb607d2e60.jpg,3.0,3.0,4.0,4.0,4.0,2.5125324279860215,23.0,0.687,0.783,5.0
8d20221a71e85a15a2e3d1c4e5ed7d70.jpg,5.0,5.0,5.0,6.0,5.0,-30.504080514244457,39.0,0.492,0.513,5.0
e165e8efb7b33bee294e7727eaac4f6d.jpg,5.0,5.0,5.0,6.0,6.0,-24.55389323777436,34.0,0.884,0.882,5.0
0fbd5dcec40a0819e667273a4390fa65.jpg,6.0,6.0,6.0,6.0,6.0,-87.07744867093676,92.0,0.99,0.011,6.0
5ec549b28d9eb6996e11a27affc2a5f6.jpg,3.0,3.0,3.0,2.0,2.0,47.93235676985458,15.0,0.529,0.933,2.0
dca53b04a8a5a5cd139db39a9287dd1e.jpg,3.0,3.0,2.0,3.0,3.0,23.44370862336259,15.0,0.741,0.267,3.0
82ccee8dbbe2a334dfe8893b99ee55d7.jpg,4.0,4.0,5.0,5.0,4.0,80.13827639055897,32.0,0.295,0.719,1.0
8fbea2dc8c4766ea2e9eddb0353e347f.jpg,5.0,6.0,6.0,5.0,5.0,-89.35554251023063,39.0,0.403,0.615,6.0
15339f00570893552989b47714614e75.jpg,2.0,2.0,2.0,2.0,1.0,20.99583667080073,20.0,0.554,0.6,3.0
716de94e936237ec11ad4e2bfe577c8a.jpg,5.0,5.0,5.0,5.0,5.0,26.968078150098354,34.0,0.598,0.412,2.0
3edd74df2dbc1513d271b01186c245b5.jpg,3.0,4.0,2.0,4.0,3.0,5.959059171544971,15.0,0.687,0.333,4.0
542944cb9298985511a5f1c1d0b3005f.jpg,5.0,6.0,6.0,6.0,6.0,-18.609513954390643,54.0,0.724,0.796,5.0
aa8ad84a35c689727b808abdbb664fbd.jpg,3.0,3.0,3.0,2.0,3.0,27.35755837398836,20.0,0.562,0.45,2.0
0fa125c888d5284f685c9a35523dd21e.jpg,4.0,5.0,5.0,3.0,2.0,3.7958557478032082,25.0,0.427,0.92,5.0
448abbea9a181b172619e1c8b35a0ebf.jpg,3.0,3.0,3.0,2.0,2.0,22.81203907888536,21.0,0.436,0.667,3.0
66aadffff352646fb453a61a86cdc310.jpg,3.0,4.0,2.0,2.0,3.0,18.87429086812634,16.0,0.445,0.562,3.0
8e294b5b1b64b6250fcd4c2c3c2dcc62.jpg,6.0,6.0,6.0,6.0,6.0,-89.53040835230082,74.0,0.987,0.014,6.0
f25175a5be41f7d97a7b8fe51a1e0222.jpg,2.0,2.0,2.0,2.0,2.0,45.870762306325766,14.0,0.658,0.357,2.0
78713a7789e28647eb16eeff946fa394.jpg,1.0,1.0,2.0,1.0,1.0,27.793511274991534,19.0,0.831,0.158,2.0
fbfd88e259762169804daa8f73c37ad5.jpg,2.0,2.0,2.0,2.0,1.0,47.90369141830615,18.0,0.653,0.722,2.0
74d404bb91fabb241d0130297edf670d.jpg,4.0,4.0,5.0,5.0,5.0,-21.085109999960384,24.0,0.788,0.792,5.0
34399bb4ab50d89705344aa006642bf8.jpg,2.0,2.0,1.0,2.0,-1.0,-26.067663220000565,13.0,0.859,1.0,5.0
bf63381355a5a8583e552a0613ec1817.jpg,2.0,2.0,2.0,2.0,1.0,-78.96515082384585,12.0,0.656,0.667,6.0
813ecfefaa195f07d885f9d3e6b55ea4.jpg,4.0,2.0,3.0,4.0,4.0,6.956695396711933,33.0,0.384,0.636,4.0
42f74433ef453510c1350d6532ceac8f.jpg,4.0,4.0,2.0,2.0,1.0,51.0860321690036,32.0,0.523,1.0,2.0
66bfcc9e827104bd1916bee8d9894045.jpg,2.0,3.0,3.0,2.0,2.0,50.279133972942,18.0,0.565,0.444,2.0
2a54572edb0c2fd5ae555b992882a598.jpg,3.0,2.0,3.0,2.0,2.0,10.191783405063877,16.0,0.431,0.625,3.0
0e416f432104c6b77605de8cb35fcf73.jpg,3.0,3.0,4.0,2.0,2.0,-11.348362221674023,12.0,0.497,0.917,5.0
c3ebca021a6c426553c91246d06d9f60.jpg,5.0,5.0,5.0,5.0,5.0,1.5509653162287143,19.0,0.557,0.421,5.0
f0dac809e28505a894db76e419a800cc.jpg,3.0,3.0,3.0,3.0,3.0,6.286998197119585,20.0,0.557,0.45,4.0
0b330f5a4d43a32b81bfef0ff3bf5976.jpg,3.0,2.0,2.0,3.0,3.0,19.677466809967015,16.0,0.644,0.375,3.0
061d69c8137926ea71fae35a03c37d43.jpg,2.0,3.0,1.0,2.0,1.0,44.43599737223634,13.0,0.442,0.692,2.0
