,hasher,source,e_label,ra_label,e2_label,e3_label
91,5c292184975a8c5bdf13d870302417e7.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),2,2,3,3
92,893d60ad0c1586f6a1def01953b3c1ac.jpg,Book - Andrews Diseases of the Skin (James 2020),2,1,2,2
93,aaf38e1758ca58ca34d249a3498767f0.jpg,Book - Fitzpatricks Dermatology (Kang 2019),2,4,3,2
94,af89a32ac2b1fb5eb66514319d279c66.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),2,1,1,2
95,b19bc079a7f2420f50ce924cba9578e7.jpg,Book - Andrews Diseases of the Skin (James 2020),5,5,5,5
96,a687fae7a0d6f4b91c3f03a7908d612f.jpg,Book - Dermatology (Bolognia 2018),3,4,3,4
97,66f7e3b63198d5bf22ed25a39faedc93.jpg,Book - Dermatology atlas for skin of color (Jackson-Richards 2014),4,4,5,4
98,2b11a456294108419ef12e191961e0d4.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),-1,-1,2,-1
99,937cc4162e867d3eb4e3e347c0fb2981.jpg,Book - Clinical dermatology (Habif 2010),2,1,1,2
100,e13607d90bd109d8e33cbb1514a8f2a3.jpg,Book - Clinical dermatology (Habif 2010),3,4,4,4
101,1bbd8ebb6a8adefba1da3b01f1186865.jpg,Book - Dermatology (Bolognia 2018),3,3,2,2
102,d081dad9a69e348646d50e9275c72ef0.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),2,2,2,2
103,a2542d5b16dce9b921b0853aa2babcd9.jpg,Book - Dermatology (Bolognia 2018),4,4,4,5
104,3525cd2d21eeb5f7b8e13f095f7e1327.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),5,5,5,6
105,3a20823a4c7b08f184148fad109e2cfd.jpg,Book - Clinical dermatology (Habif 2010),5,5,6,6
106,32cfc51c57591fd5942231ec3d8cce52.jpg,Book - Andrews Diseases of the Skin (James 2020),3,2,4,3
107,d23cab237b8e20f52b2e08cc8c28b518.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),3,4,4,3
108,1f2eb99fda27fdc412cbfe807768591c.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),5,5,5,5
109,3e602d36f0cc02c971e8c798637aaac8.jpg,Book - Fitzpatricks Dermatology (Kang 2019),3,2,1,2
110,312e6ed5f1baf1b2b0d8e196fb1b99d1.jpg,Book - Andrews Diseases of the Skin (James 2020),4,3,3,4
111,1e6521e008ede73ec16256bd27b1c528.jpg,Book - Dermatology (Bolognia 2018),6,6,6,6
112,a3dc173bedcdc24f536d95992070cc5b.jpg,Book - Clinical dermatology (Habif 2010),2,1,2,2
113,e1ab1a4e155ac324c8ff8aec13f29fa6.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),3,2,3,5
114,cb67dc671f30cc80cd0ae3c80a7eeee5.jpg,Book - Fitzpatricks Dermatology (Kang 2019),4,3,4,5
115,663d2316122af8a1ee940ade074c4157.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),2,3,3,3
116,d25ade4ecf447d62f5077684ffb48c93.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),5,5,5,5
117,3bf63f4a48ca672dd9fda84024a9aff2.jpg,Book - Clinical dermatology (Habif 2010),4,2,4,3
118,1286ef8611381c6431c6afc7fc099f4f.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),3,2,2,3
119,6e028af87049845a78d831267ebb3f61.jpg,Book - Fitzpatricks Dermatology (Kang 2019),2,2,2,2
120,5554b9eebc0ebb3c9280929fbd1cd718.jpg,Book - Dermatology (Bolognia 2018),4,5,5,4
121,a3ac32a28c335066046ddd2fed29fbf9.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),3,2,2,2
122,6836db004fd66796417473c10e6e7315.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),2,1,1,2
123,42fb01d173154f6051f7a72b4b6929fd.jpg,Book - Andrews Diseases of the Skin (James 2020),2,2,3,3
124,2527d7b807bb6bc74d38b02e74eab418.jpg,Book - Clinical dermatology (Habif 2010),3,2,2,4
125,c2b7bf36c79c7a5fbf66fa89882cbfe2.jpg,Book - Clinical dermatology (Habif 2010),2,1,2,2
126,6ab85237f8a247de2aad275f3f825554.jpg,Book - Dermatology (Bolognia 2018),2,2,3,3
127,e3eba51c81b16be51fe012ca765a1486.jpg,Book - Dermatology (Bolognia 2018),3,3,3,2
128,7d3313b1b2ad3eb58341f14505e5f9db.jpg,Book - Taylor and Kellys Dermatology for Skin of Color (Taylor 2016),2,2,2,2
129,bd6f87517bbe39213fb560ccbf8c51e8.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),2,1,3,2
130,556b7e20e4a718a135b058cb25ee0967.jpg,Book - Dermatology atlas for skin of color (Jackson-Richards 2014),4,4,5,5
131,65b2d1a4d058c60fb53ff7db29f192e8.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),4,5,5,5
132,87fb592aa3fbf8bef306be82575bb7e6.jpg,Book - Fitzpatricks Dermatology (Kang 2019),4,4,5,5
134,f7de19e308a80d411cd39de0083afea4.jpg,Book - Dermatology (Bolognia 2018),3,2,3,3
135,ad8de5f4dd3c71e3b0cf8b2ed6fc1e1a.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),1,2,2,1
136,e6df729684f769e560dda4426626db44.jpg,Book - Taylor and Kellys Dermatology for Skin of Color (Taylor 2016),5,6,6,6
137,c35ac8557c66ecf0d8b86b46a03c7e9d.jpg,Book - Dermatology (Bolognia 2018),3,4,4,4
138,4345ef6c36e6a8b8c509f472caa21e61.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),3,5,3,4
139,6ee992819af320a1d6c2d42e2672c2b7.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),2,1,2,2
140,7d1218ffc95e77480ca857d581642c8a.jpg,Book - Dermatology (Bolognia 2018),2,2,3,3
141,e0a18a0b13ae45258e087776309ba5fd.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),1,2,1,1
142,1728f27a88462cc69bf16ed4f69450c7.jpg,Book - Taylor and Kellys Dermatology for Skin of Color (Taylor 2016),3,2,2,3
143,f471121701df86e354af36f6b3ce897b.jpg,Book - Andrews Diseases of the Skin (James 2020),2,1,2,3
144,eeff209a9f606afef0bc4f4e9d90ca1d.jpg,Book - Dermatology (Bolognia 2018),3,4,4,5
145,7f9e22a43fa1aa86b167dfb0fbce7db5.jpg,Book - Clinical dermatology (Habif 2010),4,6,5,4
146,6413327c61d013474f0a5c180584c547.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),2,4,3,2
147,2fbab72b02a8ce3b7a52a82d5f8c11ba.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),-1,2,2,-1
148,248e4f11f1fc0e661979dabcc27bd388.jpg,Book - Clinical dermatology (Habif 2010),3,3,5,2
149,95153fab80e1e0fdcf13945ec11990d1.jpg,Book - Dermatology (Bolognia 2018),3,2,3,3
150,68646b464058da9689b57b0d2d2cb1cc.jpg,Book - Dermatology (Bolognia 2018),3,3,3,2
151,6093ff8620e060f61bb2df68fa4db4ec.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),-1,-1,2,-1
152,87218c67740bb192d6762d34563180ed.jpg,Book - Clinical dermatology (Habif 2010),2,2,3,3
153,3f8a23a681ef64bdfaba308fd04632c2.jpg,Book - Clinical dermatology (Habif 2010),2,1,2,2
154,07b56ac665f08993c79062c4d5c9cec1.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),2,3,4,3
156,b82a8cb04e78fbed71d2fd709b36fa84.jpg,Book - Clinical dermatology (Habif 2010),2,1,2,2
157,bcc5fd25712fc3c20e078d01645f5773.jpg,Book - Dermatology (Bolognia 2018),-1,2,2,2
158,d07c4bef890ac4241092e608f5d8491d.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),3,2,3,2
159,cbaaa00e9db5ecd2d17a263ea8ea3eda.jpg,Book - Taylor and Kellys Dermatology for Skin of Color (Taylor 2016),4,4,5,5
160,a808a25aea38a144e41cbd144d4e2604.jpg,Book - Fitzpatricks Dermatology (Kang 2019),4,3,3,4
161,f41e5463c07963dce551778b65094df3.jpg,Book - Taylor and Kellys Dermatology for Skin of Color (Taylor 2016),5,5,5,5
162,7bb1c5d11b9b950726bf4b01af3b0fcc.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),4,4,4,4
163,231c56cdc3c54de575830306a9b2102c.jpg,Book - Clinical dermatology (Habif 2010),5,6,6,6
164,fd9ce101be5e67551a9ba018bd37eb05.jpg,Book - Dermatology (Bolognia 2018),3,2,2,4
165,24ec65406eba5ff5adbcf8b0bbcee946.jpg,Book - Andrews Diseases of the Skin (James 2020),4,4,4,4
166,f408e907c34be8f208ee6d669d3883cb.jpg,Book - Clinical dermatology (Habif 2010),3,3,4,2
167,daa73511020ec226d24ba6758668c79f.jpg,Book - Dermatology atlas for skin of color (Jackson-Richards 2014),5,5,5,5
168,48d4aca53a4352fe1fa1b97b2315a3f1.jpg,Book - Clinical dermatology (Habif 2010),5,6,6,5
169,d3b89c778b7db849218978c31428b69e.jpg,Book - Taylor and Kellys Dermatology for Skin of Color (Taylor 2016),5,6,6,6
170,87971d31e4daaaf4a01bfa98e7789930.jpg,Book - Clinical dermatology (Habif 2010),2,4,2,2
171,a707e2a4101ff43c79b91ffb607d2e60.jpg,Book - Andrews Diseases of the Skin (James 2020),3,3,3,4
172,8d20221a71e85a15a2e3d1c4e5ed7d70.jpg,Book - Taylor and Kellys Dermatology for Skin of Color (Taylor 2016),5,5,5,5
173,e165e8efb7b33bee294e7727eaac4f6d.jpg,Book - Dermatology atlas for skin of color (Jackson-Richards 2014),5,6,5,5
174,0fbd5dcec40a0819e667273a4390fa65.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),6,6,6,6
175,5ec549b28d9eb6996e11a27affc2a5f6.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),3,2,3,3
176,dca53b04a8a5a5cd139db39a9287dd1e.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),3,2,3,2
177,82ccee8dbbe2a334dfe8893b99ee55d7.jpg,Book - Clinical dermatology (Habif 2010),4,3,4,5
178,8fbea2dc8c4766ea2e9eddb0353e347f.jpg,Book - Dermatology (Bolognia 2018),5,6,6,6
179,15339f00570893552989b47714614e75.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),2,1,2,2
180,716de94e936237ec11ad4e2bfe577c8a.jpg,Book - Andrews Diseases of the Skin (James 2020),5,5,5,5
181,3edd74df2dbc1513d271b01186c245b5.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),3,3,4,2
182,542944cb9298985511a5f1c1d0b3005f.jpg,Book - Clinical dermatology (Habif 2010),5,6,6,6
183,aa8ad84a35c689727b808abdbb664fbd.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),3,3,3,3
184,0fa125c888d5284f685c9a35523dd21e.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),4,4,5,5
186,448abbea9a181b172619e1c8b35a0ebf.jpg,Book - Clinical dermatology (Habif 2010),3,2,3,3
187,66aadffff352646fb453a61a86cdc310.jpg,Book - Clinical dermatology (Habif 2010),3,3,4,2
188,8e294b5b1b64b6250fcd4c2c3c2dcc62.jpg,Book - Dermatology (Bolognia 2018),6,6,6,6
189,f25175a5be41f7d97a7b8fe51a1e0222.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),2,2,2,2
190,78713a7789e28647eb16eeff946fa394.jpg,Book - Clinical dermatology (Habif 2010),1,1,1,2
191,fbfd88e259762169804daa8f73c37ad5.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),2,2,2,2
192,74d404bb91fabb241d0130297edf670d.jpg,Book - Dermatology atlas for skin of color (Jackson-Richards 2014),4,4,4,5
193,34399bb4ab50d89705344aa006642bf8.jpg,Book - Fitzpatricks Dermatology (Kang 2019),2,2,2,1
194,bf63381355a5a8583e552a0613ec1817.jpg,Book - Fitzpatricks Dermatology (Kang 2019),2,1,2,2
195,813ecfefaa195f07d885f9d3e6b55ea4.jpg,Book - Dermatology (Bolognia 2018),4,5,2,3
196,42f74433ef453510c1350d6532ceac8f.jpg,Book - Clinical dermatology (Habif 2010),4,3,4,2
197,66bfcc9e827104bd1916bee8d9894045.jpg,Book - Dermatology (Bolognia 2018),2,3,3,3
198,2a54572edb0c2fd5ae555b992882a598.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),3,2,2,3
199,0e416f432104c6b77605de8cb35fcf73.jpg,Book - Fitzpatricks Dermatology (Kang 2019),3,3,3,4
200,c3ebca021a6c426553c91246d06d9f60.jpg,Book - Dermatology atlas for skin of color (Jackson-Richards 2014),5,5,5,5
201,f0dac809e28505a894db76e419a800cc.jpg,Book - Dermatology (Bolognia 2018),3,3,3,3
202,0b330f5a4d43a32b81bfef0ff3bf5976.jpg,Book - Taylor and Kellys Dermatology for Skin of Color (Taylor 2016),3,2,2,2
203,061d69c8137926ea71fae35a03c37d43.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),2,2,3,1
204,84502a84f45cc7428c1d2dea28e2ad8e.jpg,Book - Andrews Diseases of the Skin (James 2020),2,2,4,2
205,06cb44de0727986d92f1fb0b6785fc6b.jpg,Book - Andrews Diseases of the Skin (James 2020),2,1,3,2
206,5a68afef1a48194f7551dca936ebf256.jpg,Book - Dermatology (Bolognia 2018),3,2,2,-1
207,17cb27cf89880d58f43215dad275311e.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),4,4,5,-1
208,5a48eb51dad4e036ab57897521f02da5.jpg,Book - Dermatology atlas for skin of color (Jackson-Richards 2014),5,5,5,5
209,4e280ae477034c5d3a2cb2b0d5cead5d.jpg,Book - Dermatology (Bolognia 2018),5,5,6,6
210,88684896f9bb01d98806871e990c0539.jpg,Book - Dermatology (Bolognia 2018),2,2,2,2
211,f031f584bf717483d40a46572df15926.jpg,Book - Dermatology (Bolognia 2018),3,2,2,2
212,dcb3c6c6281c389eaafc0ec0c19511c3.jpg,Book - Clinical dermatology (Habif 2010),4,5,4,5
213,0a3085353619772f87de42b416b23bff.jpg,Book - Clinical dermatology (Habif 2010),3,2,2,2
214,81ce4e93b977c21fd74996cf146d5511.jpg,Book - Dermatology (Bolognia 2018),2,1,2,2
215,b97351a4b86f12000cfdd161c6da121c.jpg,Book - Dermatology (Bolognia 2018),2,2,3,2
216,616579c2464b5abcaa84dbdd015547b9.jpg,Book - Fitzpatricks Dermatology (Kang 2019),2,1,2,2
217,ae90dba4550e1e5b48354bdf62db71cc.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),3,2,3,2
218,8e2a7b3ac024ee147f41e55806f2dda5.jpg,Book - Clinical dermatology (Habif 2010),3,2,2,2
219,549b44e55128364970b5c5b4bbfd2033.jpg,Book - Clinical dermatology (Habif 2010),2,2,3,2
220,356ce628ae66a5d736ffa7c945c3d410.jpg,Book - Dermatology (Bolognia 2018),5,4,5,6
221,0e4add6a4b2f7ffcf0abdb152e12793f.jpg,Book - Dermatology (Bolognia 2018),1,1,1,1
222,50babb5850658e8b4230157fe0f070ac.jpg,Book - Andrews Diseases of the Skin (James 2020),2,1,3,2
223,dc468dc7068fa8c1a5a51c96a0f306b4.jpg,Book - Fitzpatricks Dermatology (Kang 2019),3,2,2,2
224,471be8c94b5b1d8d610ad91c208ce4af.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),6,6,6,6
225,1bcc1453a2078c6246fb9b0c1bf9a808.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),-1,2,2,2
226,45f53afa93787d4bf01784efff585009.jpg,Book - Fitzpatricks Dermatology (Kang 2019),3,2,2,2
227,c0ca618a91d14da1eb111fd8d21e7212.jpg,Book - Andrews Diseases of the Skin (James 2020),1,1,2,1
228,cc63a215fb897d4e7da11573b27031ed.jpg,Book - Andrews Diseases of the Skin (James 2020),5,5,5,6
229,f732bea19bddcc48d5aa8b68f6c3e084.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),2,2,3,2
230,9e4ebbb7fc81f6c8f157b11a8bbc563f.jpg,Book - Fitzpatricks Dermatology (Kang 2019),3,2,2,2
231,a567df706036fd74c20e23a5d776a731.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),3,2,3,2
232,2e7897e13ea43f0589627315382acdc8.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),2,2,3,2
233,7adb25b2d74d18fadf4610d0d5b498b5.jpg,Book - Dermatology (Bolognia 2018),3,3,4,3
234,45ee6c137d3771a374e6cfbc60b1dc7b.jpg,Book - Andrews Diseases of the Skin (James 2020),2,1,2,2
235,ee76b97e281a4dcdfe944d934dfd1d20.jpg,Book - Clinical dermatology (Habif 2010),3,2,3,2
236,863afa236ebaf7d72478f5c8ea0650ae.jpg,Book - Clinical dermatology (Habif 2010),2,1,2,2
237,7cc7ea8387f2c69944b83b49197ae89e.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),4,4,4,5
238,779a8e9273a073deb9a915b3399e9421.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),-1,1,1,2
239,42fbe1481218284a9c7b9fe8125170b1.jpg,Book - Clinical dermatology (Habif 2010),1,2,2,2
240,cd055cc24a355c0dd3c79a8bdc29df95.jpg,Book - Dermatology atlas for skin of color (Jackson-Richards 2014),4,3,4,4
241,75a4eb25ef1556cb32bf081b8726bd85.jpg,Book - Fitzpatricks Dermatology (Kang 2019),2,2,3,2
242,a54c27cde2891201ce16917b4588a1da.jpg,Book - Clinical dermatology (Habif 2010),3,2,2,3
